number,date,place,claim,infact,slug,repeat,source,category1,category2,category3,category4,placecategory
11,1-25-2017,Interview with ABC's David Muir,"Regarding Healthcare.gov: ""Remember the $5 billion website?""","Healthcare.gov did not cost $5 billion. The Obama administration offered a figure of less than $1 billion, while an analysis by Bloomberg found that it cost just over $2 billion.",Healthcaregov cost,no,http://abcnews.go.com/Politics/transcript-abc-news-anchor-david-muir-interviews-president/story?id=45047602,Health care,Exaggeration,Barack Obama,,Interviews
12,1-25-2017,Interview with ABC's David Muir,"Muir: ""I called the author of the Pew report last night. And he told me that they found no evidence of voter fraud."" Trump: ""Really? Then why did he write the report?"" Muir: ""He said no evidence of voter fraud."" Trump: ""Excuse me, then why did he write the report? According to Pew report, then he's -- then he's grovelling again.""","Grovelling means ""to draw back or crouch down in fearful submission."" Becker is doing the opposite: publicly explaining his work, and explaining why the president is wrong.",Grovelling,no,http://abcnews.go.com/Politics/transcript-abc-news-anchor-david-muir-interviews-president/story?id=45047602,Voter fraud,,,,Interviews
13,1-25-2017,Interview with ABC's David Muir,"""Now you're telling me Pew report has all of a sudden changed.""","Trump was trying to use a 2012 Pew report as supposed evidence of widespread voter fraud. Muir told him he was wrong -- not because the report changed but because it never showed what Trump falsely claims it showed. ""The Pew study I directed doesn't address voter fraud at all,"" report leader David Becker told the Washington Post this weekend. Rather, the study addresses non-fraud voter registration issues, such as people remaining on one state's rolls after they move to another.",Pew fraud,no,http://abcnews.go.com/Politics/transcript-abc-news-anchor-david-muir-interviews-president/story?id=45047602,Voter fraud,Election,,,Interviews
14,1-25-2017,Interview with ABC's David Muir,"Regarding his false claim of ""millions"" of possible illegal voters: ""Those were Hillary votes. And if you look at it they all voted for Hillary. They all voted for Hillary. They didn't vote for me. I don't believe I got one. OK, these are people that voted for Hillary Clinton.""","These large numbers of illegal voters did not ""all"" vote for Clinton because they do not exist. Even if they did, it would be impossible for Trump to know that not a single one voted for him, since the ballot is secret. This claim is simply absurd.",Mass fraud,Yes,http://abcnews.go.com/Politics/transcript-abc-news-anchor-david-muir-interviews-president/story?id=45047602,Voter fraud,Election,Hillary Clinton,,Interviews
15,1-25-2017,Interview with ABC's David Muir,"Regarding voting fraud: ""Chicago, look what's going on in Chicago. It's only gotten worse.""","There is no evidence of a significant voter fraud problem in Chicago, and there is no evidence that its voting system has become increasingly plagued by fraud.",Mass fraud,Yes,http://abcnews.go.com/Politics/transcript-abc-news-anchor-david-muir-interviews-president/story?id=45047602,Voter fraud,Chicago,,,Interviews
16,1-25-2017,Interview with ABC's David Muir,"Regarding voting fraud: ""You look at Philadelphia, you look at what's going on in Philadelphia.""",There is no evidence of a significant voter fraud problem in Philadelphia.,Mass fraud,Yes,http://abcnews.go.com/Politics/transcript-abc-news-anchor-david-muir-interviews-president/story?id=45047602,Voter fraud,,,,Interviews
17,1-25-2017,Interview with ABC's David Muir,"""Look, Barack Obama -- if you look back, eight years ago when he first ran -- he was running for office in Chicago ... and he was laughing at the system because he knew all of those votes were going to him ... he was smiling and laughing about the vote in Chicago.""","This is a gross mischaracterization of Obama's remarks and behaviour during the 2008 campaign. He did not laugh or smile about the voting system in Chicago, and he did not suggest in any way that he was going to be receiving fraudulent votes. He acknowledged that his party had sometimes ""monkeyed"" with Chicago elections ""in the past.""",Obama Chicago fraud,no,http://abcnews.go.com/Politics/transcript-abc-news-anchor-david-muir-interviews-president/story?id=45047602,Barack Obama,Voter fraud,Chicago,,Interviews
18,1-25-2017,Interview with ABC's David Muir,"""So, look, when President Obama was (in Chicago) two weeks ago making a speech, very nice speech. Two people were shot and killed during his speech. You can't have that.""","There were not only no homicides during Obama's speech but no shootings at all, the Chicago Tribune reported based on police data.",Obama speech,no,http://abcnews.go.com/Politics/transcript-abc-news-anchor-david-muir-interviews-president/story?id=45047602,Barack Obama,Crime,Chicago,,Interviews
19,1-26-2017,Speech to Republican legislators at retreat in Philadelphia,"""Here in Philadelphia, the murder rate has been steady -- I mean, just terribly increasing.""","The number of Philadelphia homicides in 2016, 277, was actually down from the 280 in 2015. While both years represented an increase from 2013 (246 homicides) and 2014 (248 homicides), the overall trend has been downward: Philadelphia had 391 homicides in 2007 and 331 in 2008. The number of homicides as of Jan. 31, 30, was higher than the 19 at the same time in 2016 but about the same as the 27 in 2015. Regardless, the murder rate is never calculated on a month of data.",Philadelphia murders,no,https://www.youtube.com/watch?v=4X08l2m_fCg,Crime,Exaggeration,,,Speeches
20,1-26-2017,Interview with Fox News's Sean Hannity,"""We've taken in tens of thousands of people. We know nothing about (the refugees). They can say they vet them. They didn't vet them. They have no papers. How can you vet somebody when you don't know anything about them and you have no papers?""","Refugees to the U.S. are rigorously vetted. The process includes multiple kinds of background and security checks and at least two interviews with U.S. representatives. Regardless of their paperwork situation, and regardless of one's opinion on how good the vetting is, the U.S. knows far more than ""nothing"" about the refugees it approves.",No vetting,Yes,http://www.foxnews.com/transcript/2017/01/26/cable-exclusive-president-trump-sits-down-with-sean-hannity-at-white-house/,Immigration,,,,Interviews
21,1-26-2017,Interview with Fox News's Sean Hannity,"""And a wall protects. All you have to do is ask Israel. They were having a total disaster coming across and they had a wall. It's 99.9 per cent stoppage.""","Exact numbers do not exist, but Israel's barrier with the West Bank stops far fewer than ""99.9 per cent"" of people who seek to cross. The New York Times reported at length last year on ""a thriving smuggling industry that allows untold numbers of people to pass over, under, through or around what Israelis call the security barrier."" A police spokesman said ""hundreds"" of illegal crossers were detained every week.",West Bank wall,Yes,http://www.foxnews.com/transcript/2017/01/26/cable-exclusive-president-trump-sits-down-with-sean-hannity-at-white-house/,Immigration,Middle East,Exaggeration,Israel,Interviews
22,1-26-2017,Interview with Fox News's Sean Hannity,"""Here's another thing with the media. 'Oh, (companies) would've (created jobs) anyway. They weren't going to do it.' You see, Jack Ma. He had no intention of doing it until I got elected. And he went down and he said, 'I'm only going to do this because of Donald Trump.' And nobody put that in the papers, which is OK.""","It is not exactly clear whether Ma made his proposal to ""create one million"" U.S. Jobs as a direct result of Trump's election, but Trump's claim about media bias is false regardless: upon coming down the elevator at Trump Tower, Ma, the executive chairman of Chinese e-commerce company Alibaba, did not actually tell reporters that he had made the proposal ""because of Donald Trump."" He said nothing of that sort at all.",Alibaba,no,http://www.foxnews.com/transcript/2017/01/26/cable-exclusive-president-trump-sits-down-with-sean-hannity-at-white-house/,Jobs,Media,Exaggeration,,Interviews
23,1-27-2017,Press conference with United Kingdom Prime Minister Theresa May,"""I happened to be in Scotland at Turnberry cutting a ribbon when Brexit happened and we had a vast amount of press there. And I said Brexit -- this was the day before, you probably remember, I said Brexit is going to happen and I was scorned in the press for making that prediction. I was scorned.""","Trump was not in Scotland the day before the Brexit vote. He was there the day after. When he was asked about Brexit the day before the vote, he told Fox Business, ""I don't think anybody should listen to me because I haven't really focused on it very much."" He did not venture a prediction that day.",Predicted Brexit,Yes,https://www.youtube.com/watch?v=hILiTZZjZqI,United Kingdom,European Union,,,Press conferences or scrums
24,1-27-2017,Interview with Christian Broadcasting Network's David Brody,"""The Cuban-Americans -- I got 84 per cent of that vote, and they voted in big numbers.""","Trump got nowhere near that percentage of the Cuban-American vote. Writes NBC: ""According to exit polls, Trump won 54 per cent of the Cuban American vote in Florida, where two-thirds of people of Cuban descent live. Latino Decisions' election eve poll showed he got about 48 per cent of the Cuban American vote nationally and 52 per cent in Florida.""",Cuban vote,no,https://www.youtube.com/watch?v=ZRiyC00md_0,Exaggeration,Election,,,Interviews
25,1-27-2017,Interview with Christian Broadcasting Network's David Brody,"""Do you know if you were a Christian in Syria it was impossible, very very, at least very very tough to get into the United States? If you were a Muslim you could come in, but if you were a Christian, it was almost impossible.""","There is no basis for the claim that U.S. authorities are treating Christian applicants from Syria worse than they treated Muslims. While a very small percentage of the Syrian refugees accepted by the U.S. in 2016 were Christian -- 0.5 per cent, according to FactCheck.org -- Christians make up a similarly tiny percentage of the Syrian refugees in nearby countries: 1.5 per cent in Lebanon, 0.2 per cent in Jordan.",Syria Christians,no,https://www.youtube.com/watch?v=ZRiyC00md_0,Immigration,Middle East,Muslims,Religion,Interviews
26,1-28-2017,Twitter,"""Thr (sic) coverage about me in the @nytimes and the @washingtonpost gas (sic) been so false and angry that the times actually apologized to its dwindling subscribers and readers.""","This claim is false in two ways. First, the Times' subscriber base is growing, not dwindling: the company says it added more than 300,000 subscribers in the fourth quarter of 2016. Second, the Times never apologized for its Trump coverage; Trump was referring to a post-election letter, a kind of sales pitch, in which Times leaders thanked readers and said they planned to ""rededicate ourselves to the fundamental mission of Times journalism.""",NYT apology,Yes,https://twitter.com/realDonaldTrump/status/825329757646618624,Media,Election,,,Twitter
27,1-29-2017,Facebook statement on travel ban affecting seven predominantly Muslim countries,"""My policy is similar to what President Obama did in 2011 when he banned visas for refugees from Iraq for six months.""","Trump is wrong that Obama ""banned"" Iraqi refugees. After two Iraqi refugees were arrested on terrorism charges, Obama increased scrutiny of new refugee applicants, slowing down the process significantly, but did not ban Iraqis entirely or ban all new refugees. Iraqi refugees were admitted to the U.S. in every month of 2011, government figures show, and 9,388 were admitted in total in 2011.",Obama banned,no,https://www.facebook.com/DonaldTrump/posts/10158567643610725,Barack Obama,Immigration,,,Facebook
28,1-30-2017,Twitter,"""Only 109 people out of 325,000 were detained and held for questioning. Big problems at airports were caused by Delta computer outage, protesters and the tears of Senator Schumer.""","This is false and misleading in multiple ways. The Delta computer outage happened a full day and a half after the chaos over Trump's ban on all new refugees and on travel by nationals from seven mostly Muslim countries. The peaceful protesters at airports did not cause ""big problems."" Nor, of course, did Schumer's emotional speech. In reality, the poorly explained order caused confusion around the word, resulting in hassles at airports and beyond for tens of thousands of people -- far more than were detained upon entry. And while it is not clear if Trump was correct that ""only"" 109 people had been detained at the time, Homeland Security officials said a day later that 721 people had been denied boarding.",Travel chaos denials,Yes,https://twitter.com/realDonaldTrump/status/826041397232943104,Immigration,,,,Twitter
29,1-30-2017,Remarks at the White House,"""But we cut approximately $600 million off the F-35 fighter, and that only amounts to 90 planes out of close to 3,000 planes. And when you think about $600 million, it was announced by Marillyn (Hewson), who's very talented, the head of Lockheed Martin. I got involved in that about a month ago. A lot was put out, and when they say a lot, a lot meant about 90 planes. They were having a lot of difficulty. There was no movement and I was able to get $600 million approximately off those planes.""","Whether or not Trump secured additional discounts from Lockheed, he is wrong that there had been ""no movement"" until he got involved: the company had been moving to cut the price well before Trump was elected, multiple aviation and defence experts say. Just a week after Trump's election, the head of the F-35 program announced a reduction of 6 to 7 per cent -- in the $600 million to $700 million range. ""Trump's claimed $600 million cut is right in the ballpark of what the price reduction was going to be all along,"" wrote Popular Mechanics. ""Bottom line: Trump appears to be taking credit for years of work by the Pentagon and Lockheed,"" Aviation Week reported, per the Washington Post.",F-35 savings,Yes,https://www.youtube.com/watch?v=fzIYCCkosw0,Military,Exaggeration,,,Informal remarks at events
30,2-1-2017,"Black History Month ""listening session""","""I don't watch CNN.""","All available evidence suggests that Trump is at least an occasional CNN viewer. Though he has repeatedly claimed since May 2016 that he was boycotting the network, he has frequently commented on its content within a week of doing so -- sometimes live, during a show. Eight days after this latest claim to not be watching CNN, he tweeted immediate criticism of an interview by CNN morning host Chris Cuomo.",Dont watch CNN,Yes,https://www.whitehouse.gov/the-press-office/2017/02/01/remarks-president-trump-african-american-history-month-listening-session,Media,,,,Informal remarks at events
31,2-2-2017,Twitter,"""Iran was on its last legs and ready to collapse until the U.S. came along and gave it a lifeline in the form of the Iran Deal: $150 billion.""","It was not clear what ""Elton John records"" Trump was talking about, but he has not drawn bigger crowds than Elton John's biggest crowds. As New York magazine noted, John played two sold-out shows at 56,000-seat Dodger Stadium on consecutive nights in 1975; Trump has never had a rally with 50,000 people; he was speaking at the third of three rallies held in venues smaller than 10,000.",Iran deal size,Yes,https://twitter.com/realDonaldTrump/status/827119326880813056,Middle East,Exaggeration,Iran,,Twitter
32,2-2-2017,Twitter,"""Do you believe it? The Obama Administration agreed to take thousands of illegal immigrants from Australia.""","The people in question are refugees, not illegal immigrants; the agreement covers 1,250 people, not ""thousands.""",Australia deal,Yes,https://twitter.com/realDonaldTrump/status/827002559122567168,Immigration,Barack Obama,Immigration,Australia,Twitter
33,2-2-2017,White House meeting with Harley-Davidson,"""I love Australia as a country, but we had a problem where for whatever reason, President Obama said that they were going to take probably well over 1,000 illegal immigrants who were in prisons, and they were going to bring them and take them into this country. And I just said, 'Why?'...1,250. It could be 2,000, it could be more than that.""","The people in question are refugees, not illegal immigrants, who are living in island detention centres off of Australia. As Australia's prime minister repeatedly told Trump, and as Trump's own press secretary concurred, the agreement covers 1,250 people, not 2,000.",Australia deal,Yes,https://www.youtube.com/watch?v=w3e_KuwDiRY,Immigration,Barack Obama,Immigration,Australia,Informal remarks at events
34,2-2-2017,Facebook,"""Smart! 'Kuwait issues its own Trump-esque visa ban for five Muslim-majority countries.'""","Kuwait imposed no such ban. The Kuwaiti government later told its state news agency that it ""categorically denies these claims,"" and representatives of countries supposedly affected, like Pakistan, also said the story was wrong. Trump was sharing a link to an entirely inaccurate headline from the Jordanian website Al Bawaba, not making it up himself, but the president does not get a pass for promoting false information.",Kuwait ban,no,https://www.facebook.com/DonaldTrump/,Immigration,Middle East,Muslims,Kuwait,Facebook
35,2-2-2017,Facebook and Twitter,"""'Trump taps first woman to CIA second in command'.""","Trump's appointee, Gina Haspel, is the second female CIA deputy director, not the first: Barack Obama appointed Avril Haines to that post. Trump was quoting an inaccurate headline in The Hill newspaper -- it was soon changed -- but the president does not get a pass when publicizing inaccurate claims about his own administration, even if he did not make them up himself.",Haspel,no,https://twitter.com/POTUS/status/827303793226301444,US intelligence,,,,Twitter
36,2-3-2017,Twitter,"""Thank you to Prime Minister of Australia for telling the truth about our very civil conversation that FAKE NEWS media lied about.""","The media did not lie about their phone call, which was not civil. The public learned the truth when the transcript was leaked to the Washington Post in August. ""As far as I am concerned that is enough Malcolm. I have had it. I have been making these calls all day and this is the most unpleasant call all day,"" Trump told Turnbull. ""Putin was a pleasant call. This is ridiculous."" At the time, A senior Trump official acknowledged to the Washington Post that it had been ""hostile and charged.""",Australia denial,no,https://twitter.com/realDonaldTrump/status/827480386120929280,Immigration,Media,Australia,,Twitter
37,2-4-2017,Twitter,"""After being forced to apologize for its bad and inaccurate coverage of me after winning the election, the FAKE NEWS @nytimes is still lost!""","The New York Times not only wasn't ""forced"" to apologize for its coverage, it did not apologize at all. Trump was referring to a post-election letter, a kind of sales pitch, in which Times leaders thanked readers and said they planned to ""rededicate ourselves to the fundamental mission of Times journalism.""",NYT apology,Yes,https://twitter.com/realDonaldTrump/status/827874208021639168,Media,Election,,,Twitter
38,2-4-2017,Twitter,"""What is our country coming to when a judge can halt a Homeland Security travel ban and anyone, even with bad intentions, can come into U. S.?""","The U.S. does not allow ""anyone"" to come in. Even without Trump's travel ban, there is strict vetting of refugees, and visas are required for people seeking to enter from the seven mostly-Muslim countries to which the ban would apply.",Open borders,Yes,https://twitter.com/realDonaldTrump/status/827981079042805761,Immigration,Exaggeration,,,Twitter
39,2-5-2017,Super Bowl interview with Fox News's Bill O'Reilly,"O'Reilly: ""So you think you're gonna be proven correct in that statement (that three million illegal immigrants voted)? Trump: ""Well, I think I already have. A lot of people have come out and said that I am correct.""","Even if Trump is referring here to his broader claim of widespread voter fraud, not specifically the ""three million illegal immigrants"" claim, he's still wrong: no credible expert has said Trump is correct. That includes Republican elections officials around the country. That Trump can find some conspiracy theorists to declare him correct does not amount to proof.",Mass fraud,Yes,https://www.youtube.com/watch?v=74DAI2hr9Kk,Voter fraud,Election,,,Interviews
40,2-5-2017,Super Bowl interview with Fox News's Bill O'Reilly,"""California in many ways is out of control, as you know. Obviously the voters agree, otherwise they wouldn't have voted for me.""","It is hard to fact-check nonsense, but this is nonsensical. California governance was not one of the subjects debated during the national campaign, and not even pro-Trump pundits argued that his victory was a reaction against California. Further, Trump was trounced in California voting: 62 per cent for Hillary Clinton to his own 32 per cent.",California voting,no,https://www.youtube.com/watch?v=74DAI2hr9Kk,Election,Democrats,California,,Interviews
41,2-5-2017,Super Bowl interview with Fox News's Bill O'Reilly,"""I've been against the war in Iraq from the beginning.""","This was one of Trump's most oft-repeated lies of the 2016 campaign, and it has been thoroughly debunked. Trump did not express opposition to the war until 17 months after it began. Asked on radio in 2002 if he supported the looming invasion, he said, ""Yeah, I guess so. I wish the first time it was done correctly."" This was in line with a statement he made in his 2000 book: ""If we decide a strike against Iraq is necessary, it is madness not to carry the mission to its conclusion."" A day after the invasion, he said, ""It looks like a tremendous success from a military standpoint.""",Against iraq,no,https://www.youtube.com/watch?v=74DAI2hr9Kk,Iraq,Middle East,,,Interviews
42,2-5-2017,Super Bowl interview with Fox News's Bill O'Reilly,"""I think (the travel ban rollout) was very smooth. We had 109 people out of hundreds of thousands of travellers and all we did was vet those people very, very carefully ... General Kelly -- who's now Secretary Kelly -- he said he totally knew, he was aware of it, and it was very smooth. It was 109 people.""","The implementation of the ban was anything but smooth -- it produced confusion in foreign countries, in America and even within Trump's own government -- and it affected far more than 109 people. A lawyer for the Trump administration said in court that 100,000 people had their visas revoked; Homeland Security officials announced that 721 people had been denied boarding at airports; thousands more were left uncertain about their status or were forced to change plans. Trump's press secretary has clarified that the 109 figure refers solely to ""the initial group of people that were in transit at the time the executive order was signed"" -- which is not even close to the total number of people impacted.",Smooth rollout,Yes,https://www.youtube.com/watch?v=74DAI2hr9Kk,Immigration,Exaggeration,,,Interviews
43,2-6-2017,Twitter,"""Any negative polls are fake news, just like the CNN, ABC, NBC polls in the election.""","None of the polls are ""fake news"" -- deliberate attempts to mislead. Even if ""fake news"" is simply defined as ""wrong,"" Trump is still incorrect: election polls were actually quite accurate. ABC's final tracking poll with the Washington Post gave Clinton a four-point national lead; NBC's final poll with the Wall Street Journal gave Hillary Clinton a three-point national lead; she won the popular vote by two points. The final CNN poll, two weeks before voting day, had Clinton up five points.",Wrong polls,Yes,https://twitter.com/realDonaldTrump/status/828574430800539648,Media,Election,Polls,,Twitter
44,2-6-2017,Speech to U.S. Central Command,"""You've seen what happened in Paris and Nice. All over Europe (terrorism by Islamic extremists is) happening. It's gotten to a point where it's not even being reported. And in many cases, the very, very dishonest press doesn't want to report it. They have their reasons and you understand that.""",Terror attacks in Europe are widely reported.,Terror reporting,no,https://www.youtube.com/watch?v=IHXMjZxyY9E,Media,Terrorism,France,,Speeches
45,2-6-2017,Speech to U.S. Central Command,"""I have already saved more than $700 million when I got involved in the negotiation on the F-35. You know about that.""","Trump did not personally secure these savings: Lockheed Martin had been moving to cut the price well before Trump was elected, multiple aviation and defence experts say. Just a week after Trump's election, the head of the F-35 program announced a reduction of 6 to 7 per cent -- in the $600 million to $700 million range. ""Trump's claimed $600 million cut is right in the ballpark of what the price reduction was going to be all along,"" wrote Popular Mechanics. ""Bottom line: Trump appears to be taking credit for years of work by the Pentagon and Lockheed,"" Aviation Week reported, per the Washington Post.",F-35 savings,Yes,https://www.youtube.com/watch?v=IHXMjZxyY9E,Military,Exaggeration,,,Speeches
46,2-6-2017,Twitter,"""The failing @nytimes was forced to apologize to its subscribers for the poor reporting it did on my election win.""","The New York Times not only wasn't ""forced"" to apologize for its coverage, it did not apologize at all. Trump was referring to a post-election letter, a kind of sales pitch, in which Times leaders thanked readers and said they planned to ""rededicate ourselves to the fundamental mission of Times journalism.""",NYT apology,Yes,https://twitter.com/realDonaldTrump/status/828793887275761665,Media,Election,,,Twitter
47,2-6-2017,Extended portion of Super Bowl interview with Fox News's Bill O'Reilly,"""The previous administration allowed it to happen. Because we shouldn't have been in Iraq but we shouldn't have gotten out the way we got out. It created a vacuum, ISIS was formed.""","Daesh, also known as ISIS and ISIL, was formed long before the U.S. troop withdrawal from Iraq, which occurred in 2011. The group has roots as far back as 1999, and it was already using the name Islamic State by 2006, under George W. Bush. While it had been weakened by 2011, it was around. So Trump can make a reasonable argument that the U.S. withdrawal helped the group thrive, but it is simply inaccurate to say Daesh ""was formed"" in a post-withdrawal vacuum.",Daesh origin,Yes,https://www.youtube.com/watch?v=l0nbEALzIMM&t=2555s,Terrorism,Barack Obama,Middle East,Iraq,Interviews
48,2-6-2017,Extended portion of Super Bowl interview with Fox News's Bill O'Reilly,"""We've already given (Iran) billions and billions, probably $150 billion.""","The ""$150 billion"" figure has no basis. Experts said Iran had about $100 billion in worldwide assets at the time; after the nuclear deal unfroze Iranian assets, Iran was able to access a percentage of that $100 billion, but not all of it. PolitiFact reported: ""The actual amount available to Iran is about $60 billion, estimates Garbis Iradian, chief economist at the Institute of International Finance. U.S. Treasury Secretary Jack Lew pinned it at $56 billion, while Iranian officials say $35 billion, according to Richard Nephew, an expert on economic sanctions at Columbia University's Center on Global Energy Policy.""",Iran deal size,Yes,https://www.youtube.com/watch?v=l0nbEALzIMM&t=2555s,Middle East,Exaggeration,Iran,,Interviews
49,2-7-2017,Twitter,"""It is a disgrace that my full Cabinet is still not in place, the longest such delay in the history of our country.""","Trump does not even come close to the record for the longest delay before having a full cabinet in place. We only have to go back one presidency for proof: Barack Obama didn't have his final cabinet member confirmed until April 28, 2009, 99 days into his presidency. Trump wasn't even a full 19 days into his presidency when he posted this tweet.",Dem obstruction,Yes,https://twitter.com/realDonaldTrump/status/829133645055135750,Democrats,Trump White House,Congress,,Twitter
50,2-7-2017,Meeting with the National Sheriffs' Association,"""Years of getting approvals, nobody showed up to fight (the Dakota Access Pipeline), this company spends tremendous -- hundreds and hundreds of millions of dollars -- and then all of a sudden people show up to fight it.""","While protest against the pipeline greatly intensified in 2016, it is false that ""nobody"" was fighting it before it was granted approvals. ""Bakken pipeline protesters flooded the Iowa Utilities Board headquarters in Des Moines on Thursday morning, delivering 1,000 written grievances about the consequences of building the pipeline in the state,"" read a Des Moines Register article in Oct. 2015. Iowa's WHOTV reported in Nov. 2015 about intense opposition from Iowa farmers.",Dakota protests,no,https://www.youtube.com/watch?v=X-6NxvyqeZI,Pipelines,,,,Informal remarks at events
